4.137,1.476,0.966,3.009,0.153,5.074
3.32,1.113,0.977,2.731,0.123,2.861
3.219,1.288,0.482,3.121,0.111,2.582
2.985,1.203,0.505,3.09,0.093,1.622
3.614,1.238,1.598,2.451,0.185,2.636
5.345,1.901,2.337,3.731,0.273,3.484
3.824,1.465,1.228,3.365,0.176,2.05
5.294,1.736,1.513,4.63,0.194,4.441
4.246,1.254,1.576,3.72,0.163,2.955
3.956,0.965,1.406,3.667,0.13,3.289
3.553,1.327,1.459,2.628,0.196,2.209
2.336,1.04,0.362,2.162,0.093,1.715
5.522,2.207,1.534,4.276,0.243,4.488
4.323,1.427,1.25,3.951,0.159,3.166
4.588,1.601,1.783,3.092,0.218,3.955
2.896,1.145,1.306,1.681,0.169,2.042
2.97,1.18,1.214,2.158,0.171,1.742
4.383,1.834,1.952,2.404,0.269,3.074
4.222,1.479,0.938,3.973,0.151,3.605
2.333,1.116,0.812,1.683,0.133,0.994
3.895,1.537,1.49,2.543,0.207,2.964
3.473,1.254,1.365,2.245,0.172,2.958
3.954,1.585,1.221,2.696,0.191,3.623
2.892,1.154,0.779,2.463,0.12,1.845
3.68,1.438,1.488,2.226,0.199,3.007
4.593,1.722,1.224,3.322,0.201,4.96
3.75,1.181,1.512,2.885,0.175,2.83
4.01,1.053,1.383,3.291,0.132,3.924
3.389,1.542,1.237,2.143,0.203,2.226
5.261,2.012,1.391,4.347,0.216,4.315
3.364,0.664,0.337,3.848,0.007,4.074
2.014,1.103,0.608,1.523,0.125,0.518
4.358,1.875,2.248,2.354,0.303,2.323
5.668,2.028,1.97,4.735,0.255,3.577
2.972,1.11,1.162,2.113,0.153,2.041
4.442,1.714,1.078,3.957,0.166,3.039
3.424,1.647,0.944,2.638,0.185,1.966
3.718,1.656,0.644,3.784,0.136,1.55
3.582,1.329,1.188,2.336,0.165,3.572
3.184,1.473,0.952,2.502,0.169,1.671
4.661,1.834,1.281,3.546,0.211,4.236
4.002,1.306,1.591,2.836,0.186,3.378
3.547,0.877,1.045,3.002,0.098,3.934
3.505,1.332,0.603,3.583,0.105,2.255
3.532,1.535,0.325,4.285,0.095,1.066
4.992,1.666,0.832,5.131,0.12,3.99
4.412,1.555,1.767,2.898,0.218,3.686
4.587,0.815,1.125,4.483,0.071,5.662
4.425,1.97,0.462,4.839,0.134,2.129
3.939,1.758,1.768,2.544,0.254,1.692
3.841,1.24,1.546,2.98,0.179,2.851
3.256,1.204,0.433,3.177,0.087,3.102
3.637,1.314,0.601,3.862,0.097,2.331
3.132,1.034,1.126,2.368,0.129,2.573
2.258,0.849,0.515,1.617,0.093,2.768
4.638,1.546,0.909,4.565,0.127,3.758
3.301,0.979,0.444,3.533,0.056,3.162
2.622,1.42,0.852,1.396,0.178,1.923
3.305,1.188,0.816,2.969,0.116,2.515
3.406,1.933,0.826,2.74,0.203,1.058
2.801,0.633,0.474,3.012,0.035,3.016
2.699,0.822,0.927,2.291,0.108,2.202
5.853,1.554,2.153,4.929,0.229,5.356
2.528,0.975,0.17,2.896,0.054,1.743
3.96,1.224,1.242,2.922,0.145,4.183
3.545,0.637,0.755,3.432,0.041,4.666
2.49,1.004,0.707,2.088,0.107,1.546
3.862,1.559,0.707,4.213,0.127,1.576
1.907,1.024,0.898,0.882,0.148,0.802
3.49,0.804,1.173,3.356,0.105,3.049
